EventIndex,Planet1,Aspect,Planet2,Orb,Type
29,Sun,Square,Uranus,9°09’,Applying
29,Moon,Square,Mercury,0°00’,Applying
29,Moon,Square,Venus,5°34’,Separating
29,Moon,Conjunction,Mars,4°50’,Separating
29,Moon,Square,Neptune,8°22’,Separating
29,Mercury,Conjunction,Venus,5°35’,Separating
29,Mercury,Square,Mars,4°50’,Separating
29,Venus,Square,Mars,0°44’,Separating
29,Venus,Conjunction,Neptune,2°48’,Applying
29,Mars,Square,Neptune,3°32’,Separating
29,Jupiter,Opposition,Uranus,1°33’,Applying
29,Uranus,Conjunction,Pluto,6°54’,Applying
29,Neptune,Sextile,Pluto,1°42’,Separating
30,Sun,Conjunction,Venus,7°08’,Separating
30,Sun,Square,Mars,5°00’,Applying
30,Sun,Conjunction,Jupiter,2°28’,Applying
30,Sun,Conjunction,Saturn,6°10’,Separating
30,Sun,Conjunction,Uranus,0°59’,Applying
30,Sun,Trine,Neptune,0°07’,Separating
30,Moon,Trine,Mercury,1°28’,Applying
30,Moon,Trine,Venus,3°17’,Separating
30,Moon,Trine,Jupiter,7°57’,Separating
30,Moon,Trine,Uranus,9°26’,Separating
30,Moon,Opposition,Pluto,3°19’,Separating
30,Mercury,Conjunction,Venus,4°45’,Separating
30,Mercury,Square,Mars,6°53’,Separating
30,Venus,Square,Mars,2°08’,Separating
30,Venus,Conjunction,Jupiter,4°40’,Separating
30,Venus,Conjunction,Uranus,6°09’,Separating
30,Venus,Sextile,Pluto,0°02’,Separating
30,Mars,Square,Jupiter,2°31’,Separating
30,Mars,Square,Uranus,4°01’,Separating
30,Jupiter,Conjunction,Uranus,1°29’,Separating
30,Jupiter,Trine,Neptune,2°35’,Separating
30,Saturn,Trine,Neptune,6°02’,Applying
30,Uranus,Trine,Neptune,1°06’,Separating
31,Sun,Conjunction,Mercury,2°57’,Separating
31,Sun,Trine,Mars,2°48’,Separating
31,Sun,Trine,Neptune,6°44’,Applying
31,Sun,Opposition,Pluto,2°23’,Applying
31,Moon,Sextile,Venus,2°24’,Applying
31,Moon,Square,Pluto,9°11’,Separating
31,Mercury,Trine,Mars,0°08’,Separating
31,Mercury,Opposition,Pluto,5°20’,Separating
31,Venus,Trine,Uranus,4°46’,Applying
31,Jupiter,Conjunction,Saturn,0°28’,Separating
32,Sun,Square,Moon,2°05’,Applying
32,Sun,Conjunction,Mercury,7°44’,Separating
32,Sun,Square,Mars,2°15’,Separating
32,Sun,Conjunction,Jupiter,5°06’,Applying
32,Sun,Conjunction,Uranus,5°06’,Separating
32,Moon,Square,Mercury,5°39’,Separating
32,Moon,Sextile,Venus,4°34’,Applying
32,Moon,Opposition,Mars,0°10’,Separating
32,Moon,Square,Jupiter,7°11’,Applying
32,Moon,Sextile,Saturn,0°21’,Separating
32,Moon,Square,Uranus,3°01’,Separating
32,Mercury,Square,Mars,5°28’,Separating
32,Mercury,Conjunction,Uranus,2°37’,Separating
32,Mercury,Conjunction,Pluto,6°37’,Applying
32,Venus,Trine,Mars,4°44’,Separating
